Temps 	 localisation	numberOfMember()	nbParStatut(StatutEntreprise.DEBUTANT)	nbParStatut(StatutEntreprise.INTERMEDIARE)	nbParStatut(StatutEntreprise.EXPERIMENTE)	nbParStatut(StatutEntreprise.EXPERT)
1	ROUMANIE	18	14	0	0	4
2	ROUMANIE	26	22	0	0	4
3	ROUMANIE	26	22	0	0	4
4	ROUMANIE	26	22	0	0	4
5	ROUMANIE	26	22	0	0	4
6	ROUMANIE	26	17	5	0	4
7	ROUMANIE	26	8	14	0	4
8	ROUMANIE	26	0	22	0	4
9	ROUMANIE	26	0	22	0	4
10	ROUMANIE	26	0	22	0	4
11	ROUMANIE	26	0	22	0	4
12	ROUMANIE	26	0	22	0	4
13	ROUMANIE	26	0	22	0	4
14	ROUMANIE	26	0	22	0	4
15	ROUMANIE	26	0	22	0	4
16	ROUMANIE	26	0	22	0	4
17	ROUMANIE	26	0	22	0	4
18	ROUMANIE	26	0	22	0	4
19	ROUMANIE	26	0	22	0	4
20	ROUMANIE	26	0	22	0	4
21	ROUMANIE	26	0	22	0	4
22	ROUMANIE	26	0	22	0	4
23	ROUMANIE	26	0	22	0	4
24	ROUMANIE	26	0	22	0	4
25	ROUMANIE	26	0	22	0	4
26	ROUMANIE	26	0	22	0	4
27	ROUMANIE	26	0	22	0	4
28	ROUMANIE	26	0	22	0	4
29	ROUMANIE	26	0	22	0	4
30	ROUMANIE	26	0	22	0	4
31	ROUMANIE	26	0	22	0	4
32	ROUMANIE	26	0	22	0	4
33	ROUMANIE	26	0	22	0	4
34	ROUMANIE	26	0	22	0	4
35	ROUMANIE	26	0	22	0	4
36	ROUMANIE	26	0	22	0	4
37	ROUMANIE	26	0	22	0	4
38	ROUMANIE	26	0	22	0	4
39	ROUMANIE	26	0	22	0	4
40	ROUMANIE	26	0	22	0	4
41	ROUMANIE	26	0	22	0	4
42	ROUMANIE	26	0	22	0	4
43	ROUMANIE	26	0	22	0	4
44	ROUMANIE	26	0	22	0	4
45	ROUMANIE	26	0	22	0	4
46	ROUMANIE	26	0	22	0	4
47	ROUMANIE	26	0	22	0	4
48	ROUMANIE	26	0	22	0	4
49	ROUMANIE	26	0	22	0	4
50	ROUMANIE	26	0	22	0	4
51	ROUMANIE	26	0	22	0	4
52	ROUMANIE	26	0	22	0	4
53	ROUMANIE	26	0	22	0	4
54	ROUMANIE	26	0	22	0	4
55	ROUMANIE	26	0	22	0	4
56	ROUMANIE	26	0	22	0	4
57	ROUMANIE	26	0	22	0	4
58	ROUMANIE	26	0	22	0	4
59	ROUMANIE	26	0	22	0	4
60	ROUMANIE	26	0	22	0	4
61	ROUMANIE	26	0	22	0	4
62	ROUMANIE	26	0	22	0	4
63	ROUMANIE	26	0	22	0	4
64	ROUMANIE	26	0	22	0	4
65	ROUMANIE	26	0	22	0	4
66	ROUMANIE	26	0	22	0	4
67	ROUMANIE	26	0	22	0	4
68	ROUMANIE	26	0	22	0	4
69	ROUMANIE	26	0	22	0	4
70	ROUMANIE	26	0	22	0	4
71	ROUMANIE	26	0	22	0	4
72	ROUMANIE	26	0	22	0	4
73	ROUMANIE	26	0	22	0	4
74	ROUMANIE	26	0	22	0	4
75	ROUMANIE	26	0	22	0	4
76	ROUMANIE	26	0	22	0	4
77	ROUMANIE	26	0	22	0	4
78	ROUMANIE	26	0	22	0	4
79	ROUMANIE	26	0	22	0	4
80	ROUMANIE	26	0	22	0	4
81	ROUMANIE	26	0	22	0	4
82	ROUMANIE	26	0	22	0	4
